         849630 function calls (726458 primitive calls) in 3.189 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2985    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2687(name)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:357(__repr__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      587    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:632(_is_wrapper)
       96    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/container.py:279(_get_abs_string_index)
     1611    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/utils/generic.py:340(<genexpr>)
        4    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/gpt.py:31(forward)
     2376    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:288(_prepare_transformation_recipe)
      436    0.000    0.000    0.000    0.000 /usr/lib/python3.10/json/encoder.py:413(_iterencode)
      604    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/_tensor.py:1002(__hash__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:3813(interpolate)
     3012    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      177    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/container.py:313(__iter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      177    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/container.py:205(__iter__)
      586    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/utils/generic.py:344(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/configuration_utils.py:893(to_dict)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:594(repeat)
      146    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/stopping_criteria.py:65(__call__)
        2    0.000    0.000    0.000    0.000 {built-in method torch._C._nn.upsample_linear1d}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torchaudio/transforms/_transforms.py:63(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     1809    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
     2373    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2699(kind)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:556(__init__)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
     1884    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     1762    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       55    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:1697(__setattr__)
     1757    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
      148    0.000    0.000    0.000    0.000 {method 'long' of 'torch._C._TensorBase' objects}
  440/436    0.000    0.000    0.000    0.000 /usr/lib/python3.10/json/encoder.py:333(_iterencode_dict)
      146    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:834(_extract_past_from_model_output)
        2    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/perceiver_encoder.py:177(forward)
        1    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/tokenizer.py:630(preprocess_text)
        1    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/tokenizer.py:551(multilingual_cleaners)
      587    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       12    0.000    0.000    0.000    0.000 {built-in method torch.softmax}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/copy.py:259(_reconstruct)
     1174    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:3006(parameters)
     1198    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2691(default)
      147    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py:973(get_head_mask)
        2    0.000    0.000    0.000    0.000 {built-in method torch.hann_window}
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.10/re.py:202(sub)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:1054(to)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1190(_open)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/parsing.py:29(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method torch.log}
      587    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
    19/11    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:832(dict_torch_dtype_to_str)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/_backends.py:91(reshape)
      297    0.000    0.000    0.000    0.000 {method 'is_floating_point' of 'torch._C._TensorBase' objects}
       14    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      354    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      331    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tokenize.py:390(open)
      147    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:154(_reconstruct_from_shape_uncached)
        2    0.000    0.000    0.000    0.000 {built-in method torch.min}
      6/2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:807(_apply)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torchaudio/functional/functional.py:462(_mel_to_hz)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:259(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method torch.max}
      194    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/container.py:309(__len__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:807(_expand_inputs_for_generation)
       21    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/parsing.py:49(add_axis_name)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       18    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/_backends.py:22(get_backend)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.000    0.000 {built-in method torch.clamp}
     1101    0.000    0.000    0.000    0.000 /usr/lib/python3.10/copy.py:182(_deepcopy_atomic)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:451(__init__)
        1    0.000    0.000    0.000    0.000 {method 'clip_' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 {method 'repeat_interleave' of 'torch._C._TensorBase' objects}
       33    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/tokenizer.py:235(expand_abbreviations_multilingual)
        8    0.000    0.000    0.000    0.000 {method 'chunk' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/tokenizer.py:522(expand_numbers_multilingual)
       55    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/parameter.py:8(__instancecheck__)
      318    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1461(_create_info_struct)
      365    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
       76    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/container.py:457(__getitem__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:496(register_buffer)
        1    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/gpt.py:238(set_mel_padding)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/autograd/grad_mode.py:269(clone)
        2    0.000    0.000    0.000    0.000 {built-in method torch.stack}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        2    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/gpt.py:233(set_inputs_and_targets)
       36    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/batchnorm.py:414(_check_input_dim)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py:854(device)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/_tensor.py:911(__rdiv__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py:204(get_parameter_device)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tokenize.py:297(detect_encoding)
        3    0.000    0.000    0.000    0.000 {method 'clamp_min' of 'torch._C._TensorBase' objects}
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/autograd/grad_mode.py:262(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.10/re.py:288(_compile)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/_backends.py:256(transpose)
        1    0.000    0.000    0.000    0.000 {built-in method torch.as_tensor}
       24    0.000    0.000    0.000    0.000 {method 'float' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 {built-in method torch.ones}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/_backends.py:262(add_axes)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1316(_create_empty_array)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/conv.py:629(_output_padding)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/_dtype.py:328(_name_get)
        2    0.000    0.000    0.000    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:2430(_verify_batch_size)
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/parsing.py:126(check_axis_name_return_reason)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        2    0.000    0.000    0.000    0.000 {built-in method torch._C._nn._parse_to}
        1    0.000    0.000    0.000    0.000 {built-in method torch.relu}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/_tensor.py:936(__rpow__)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:2278(children)
       79    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/utils.py:9(parse)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/coqpit/coqpit.py:624(__getattribute__)
        4    0.000    0.000    0.000    0.000 {built-in method torch.linspace}
        1    0.000    0.000    0.000    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/json/encoder.py:204(iterencode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:722(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'item' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1488(_get_format_from_filename)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.10/codecs.py:319(decode)
      159    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/_jit_internal.py:1109(is_scripting)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1181(close)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:360(validate)
      4/1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/configuration_utils.py:1015(dict_torch_dtype_to_str)
        1    0.000    0.000    0.000    0.000 {method 't' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/functools.py:479(lru_cache)
        2    0.000    0.000    0.000    0.000 {method 'reciprocal' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tokenize.py:327(find_cookie)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:957(update)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.10/copy.py:243(_keep_alive)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/autograd/grad_mode.py:266(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/utils.py:33(_list_with_default)
        1    0.000    0.000    0.000    0.000 {method 'new' of '_cffi_backend.FFI' objects}
        1    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/tokenizer.py:431(expand_symbols_multilingual)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:764(seek)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1368(_prepare_read)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:979(_get_logits_processor)
        3    0.000    0.000    0.000    0.000 {method 'expand_as' of 'torch._C._TensorBase' objects}
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/autograd/grad_mode.py:257(__new__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/autograd/grad_mode.py:182(__init__)
       36    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/_backends.py:87(shape)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:1154(convert)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/autograd/grad_mode.py:82(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1442(_check_mode)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:892(_get_logits_warper)
       96    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      106    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/functools.py:35(update_wrapper)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:2287(named_children)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/_dtype.py:314(_name_includes_bit_suffix)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/autograd/grad_mode.py:250(__init__)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/autograd/grad_mode.py:78(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/contextlib.py:252(contextmanager)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:816(_expand_dict_for_generation)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/_backends.py:275(add_axis)
       14    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      234    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method torch.from_numpy}
        1    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/gpt_inference.py:21(store_prefix_emb)
       44    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/_jit_internal.py:1334(get_origin)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/numerictypes.py:356(issubdtype)
        1    0.000    0.000    0.000    0.000 {method 'squeeze_' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:117(splitext)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        2    0.000    0.000    0.000    0.000 {method 'expand' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/_backends.py:216(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:1103(_get_stopping_criteria)
       10    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
        2    0.000    0.000    0.000    0.000 {built-in method torch.unsqueeze}
       72    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:409(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torchaudio/_backend/utils.py:106(dispatcher)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torchaudio/functional/functional.py:428(_hz_to_mel)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/_jit_internal.py:1342(check_args_exist)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tokenize.py:321(read_or_stop)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:725(__setattr__)
       68    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/json/encoder.py:259(_make_iterencode)
       55    0.000    0.000    0.000    0.000 {function _ParameterMeta.__instancecheck__ at 0x7f3a84c9dd80}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/_tensor.py:964(__len__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:939(_get_generation_mode)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:416(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/utils/_contextlib.py:141(clone)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.10/json/encoder.py:223(floatstr)
       76    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/extern/__init__.py:57(find_spec)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/autograd/grad_mode.py:73(__init__)
        1    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/tokenizer.py:547(collapse_whitespace)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/backends/opt_einsum/__init__.py:93(OptEinsumModule)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/copyreg.py:109(_slotnames)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:805(tell)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/numerictypes.py:282(issubclass_)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:424(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:601(_prepare_model_inputs)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:396(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1294(_check_frames)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/warnings.py:403(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:676(<lambda>)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/genericpath.py:121(_splitext)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:1263(_validate_model_class)
        4    0.000    0.000    0.000    0.000 {built-in method torch._C._set_grad_enabled}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tokenize.py:286(_get_normal_name)
       18    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:28(_product)
       18    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:408(<listcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/extern/__init__.py:24(_module_matches_namespace)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:122(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:2483(_verify_spatial_size)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:696(<lambda>)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/json/encoder.py:104(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       18    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:204(<listcomp>)
       10    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/backends/opt_einsum/__init__.py:94(__init__)
       13    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1167(flush)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/soundfile.py:1285(_check_if_closed)
        6    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/perceiver_encoder.py:162(default)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py:1353(can_generate)
       10    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:1698(remove_from)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:78(_check_methods)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/parsing.py:142(check_axis_name)
        9    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:402(<setcomp>)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/utils/_contextlib.py:149(__new__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/logits_process.py:324(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       23    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/tokenizer.py:622(check_input_length)
        8    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x5626d92779a0}
